k,E
1,0.5655017594479231
2,0.27343749853446153
3,0.1326737090686154
4,0.11345465535921542
5,0.07591538434282308
6,0.050410886060246164
7,0.03947499125333846
8,0.03197224348962308
9,0.03182313623166154
10,0.023621924521423074
11,0.020267295032815383
12,0.01881612568443077
13,0.017412441527500003
14,0.015537733479638462
15,0.013127452868746151
16,0.013638630852438462
17,0.012411782248284615
18,0.011563249859038465
19,0.01002147849473231
20,0.009917492712374614
21,0.009610990847211539
22,0.008575560863701539
23,0.008277932857466922
24,0.007725983496415385
25,0.007688910128174615
26,0.007099980632495386
27,0.006649230094502309
28,0.006450804814896154
29,0.006044198494716923
30,0.00572826031414923
31,0.005515696664331538
32,0.0051457187550184615
33,0.005060555669599231
34,0.00484442182359077
35,0.004482799893549229
36,0.004382404042250769
37,0.004153767405346924
38,0.00398889768064
39,0.003705442647992307
40,0.003651513202157693
41,0.0035095122570338467
42,0.003284511389151539
43,0.0032038029149130767
44,0.002996672301765385
45,0.002950696200421539
46,0.0027184086030369236
47,0.0026411265842853845
48,0.002560184809620769
49,0.002455678395607692
50,0.002359205324392308
51,0.002210189589346154
52,0.002162053776477692
53,0.0020608766263330767
54,0.001958351084531538
55,0.001875071120103077
56,0.0018091339191815383
57,0.001766310076253846
58,0.0016577115856176922
59,0.001593075405979231
60,0.0015542685403515384
61,0.0014741573286453846
62,0.001426274443176923
63,0.001335107247653077
64,0.001314368045525385
65,0.0012813041913438462
66,0.00119988926028
67,0.0011725927145515385
68,0.0011043005176153845
69,0.0010894211230353848
70,0.0010257066762512307
71,0.0009813026577083076
72,0.0009663765190999231
73,0.0009158092015176154
74,0.000896047389510077
75,0.0008439582845136154
76,0.0008211743264269999
77,0.0007936073142620769
78,0.0007539801894911538
79,0.0007332699963613076
80,0.000702718143697
81,0.0006861651063514615
82,0.0006562730020886154
83,0.0006309642629368461
84,0.0006041569531683845
85,0.0005913672738821538
86,0.0005662428775178462
87,0.0005418220536573076
88,0.0005264848870666154
89,0.0005088322312760001
90,0.000493245261644
91,0.00047157542393538464
92,0.00045654935589992297
93,0.0004404488241296923
94,0.0004252033845188461
95,0.0004075618303736153
96,0.000398048165736
97,0.0003858408216891538
98,0.0003761837499613847
99,0.0003552080110805385
100,0.00034677085593
101,0.00033488208202861534
102,0.00032501138003100005
103,0.0003139372594608462
104,0.00029889318284315387
105,0.00029746582072384616
106,0.0002821021065054615
107,0.0002737164948582308
108,0.000265332946827
109,0.00025885256675207697
110,0.0002478950285768462
111,0.00023800872037915382
112,0.00023254269152253847
113,0.00022482597985730768
114,0.00021827543836292306
115,0.00020843301718784615
116,0.00020369044753423078
117,0.00019710956308746153
118,0.00018831780589307696
119,0.00018209066320876922
120,0.00017805153969846155
121,0.00017179491065515387
122,0.000165859492267
123,0.00016045691594630772
124,0.0001545172259913077
